condition,k_steps,ar_model,diff_model,seed,n,accuracy,flops_mean,flops_total
c1,0,?,?,0,5,0.2,249568800000.0,1247844000000
c1,64,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.34,281441680000.0,14072084000000
c2,16,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.44,32849920000000.0,1642496000000000
c2,32,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.62,65699840000000.0,3284992000000000
c2,64,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.74,131399680000000.0,6569984000000000
c2,64,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,1,50,0.74,131399680000000.0,6569984000000000
c2,64,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,2,50,0.74,131399680000000.0,6569984000000000
c2,128,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.74,262799360000000.0,13139968000000000
c2empty,64,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.66,131399680000000.0,6569984000000000
c2hint,8,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,2,0.0,32849920000000.0,65699840000000
c2hint,64,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.68,131399680000000.0,6569984000000000
c3,8,?,?,0,3,0.0,6191424000000.0,18574272000000
c3,16,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,3,0.0,65737713333333.336,197213140000000
c3,64,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.64,131436730000000.0,6571836500000000
c3p,16,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.28,32881536000000.0,1644076800000000
c3p,32,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.56,65731456000000.0,3286572800000000
c3p,64,Qwen/Qwen2.5-1.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,100,0.6,131496515200000.0,13149651520000000
c3p,128,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.62,262830976000000.0,13141548800000000
c4,8,?,?,0,3,0.0,65770976000000.0,197312928000000
c4,16,?,?,0,5,0.0,131484252800000.0,657421264000000
c4,64,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.54,262870278640000.0,13143513932000000
cmaj,8,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,2,0.5,98549760000000.0,197099520000000
cmerge,8,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,2,0.0,98565568000000.0,197131136000000
crev,8,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,2,0.0,16440768000000.0,32881536000000
crev,64,Qwen/Qwen2.5-0.5B-Instruct,GSAI-ML/LLaDA-8B-Instruct,0,50,0.62,65704938080000.0,3285246904000000
